model,status,ttl_lower_bound_s,ttl_upper_bound_s,ttl_estimate_s,ttl_window,probe_count,public_note
claude-haiku-4.5,measured,225,255,240,225s-255s,9,"mixed result at 255s; about 4.0 min"
claude-opus-4.5,measured,255,277.5,266.25,255s-277.5s,9,"confirmed hits at 255s; miss at 277.5s"
claude-opus-4.6,measured,277.5,300,288.75,277.5s-300s,9,"confirmed hits at 277.5s; miss at 300s"
claude-opus-4.7,measured,255,277.5,266.25,255s-277.5s,9,"prefix hash changed mid-run; bracket still reported"
claude-opus-4.8,measured,277.5,300,288.75,277.5s-300s,9,"confirmed hits at 277.5s; miss at 300s"
claude-sonnet-4.5,measured,277.5,300,288.75,277.5s-300s,9,"confirmed hits at 277.5s; miss at 300s"
claude-sonnet-4.6,measured,255,277.5,266.25,255s-277.5s,9,"confirmed hits at 255s; miss at 277.5s"
gemini-3.5-flash,measured,1200,1500,1485,roughly 1200s-1500s,14,"noisy boundary; mixed confirmation at 1500s"
gpt-5.4,measured,0,30,,<30s,1,"no stable cache at the first 30s probe"
gpt-5.4-mini,measured,918.75,937.5,928.125,918.75s-937.5s,13,"confirmed hits at 918.75s; miss at 937.5s"
gpt-5.5,measured,1031.25,1050,1041,1031.25s-1050s,13,"confirmed hits at 1031.25s; miss at 1050s"
gpt-5-mini,ceiling-limited,1800,,>=1800,>=1800s,7,"still cache-hit at the 30-minute ceiling"
gpt-5.3-codex,ceiling-limited,1800,,>=1800,>=1800s,7,"still cache-hit at the 30-minute ceiling"
auto,routed,,,,,30,"routed model varied; no single TTL is meaningful"
